SK,Name,Planning_project_SK,Project_task_SK,Hourly_Rate
363,Interventions 2022,4,NULL,NULL
375,Interventions 2022,44,NULL,NULL
377,Interventions 2022,68,NULL,NULL
380,Interventions 2022,48,NULL,NULL
383,Interventions 2022,105,NULL,NULL
385,Interventions 2022,127,NULL,NULL
403,Interventions 2022,92,NULL,NULL
408,Interventions 2022,74,NULL,NULL
456,Interventions 2022,121,NULL,NULL
459,Interventions 2022,122,NULL,NULL
467,Interventions 2022,128,NULL,NULL
498,Interventions 2022,104,NULL,NULL
500,Interventions 2022,38,NULL,NULL
504,Interventions 2022,79,NULL,NULL
506,Interventions 2022,25,NULL,NULL
508,Interventions 2022,76,NULL,NULL
510,Interventions 2022,86,NULL,NULL
514,Interventions 2022,24,NULL,NULL
516,Interventions 2022,132,NULL,NULL
519,Interventions 2022,53,NULL,NULL
520,Interventions 2022,114,NULL,NULL
523,Interventions 2022,119,NULL,NULL
525,Interventions 2022,131,NULL,NULL
527,Interventions 2022,72,NULL,NULL
531,Interventions 2022,9,NULL,NULL
534,Interventions 2022,133,NULL,NULL
535,Interventions 2022,106,NULL,NULL
538,Interventions 2022,13,NULL,NULL
542,Interventions 2022,108,NULL,NULL
547,Interventions 2022,23,NULL,NULL
556,Interventions 2022,33,NULL,NULL
560,Interventions 2022,69,NULL,NULL
561,Interventions 2022,56,NULL,NULL
565,Interventions 2022,67,NULL,NULL
598,Interventions 2022,99,NULL,NULL
608,Interventions 2022,96,NULL,NULL
612,Interventions 2022,93,NULL,NULL
616,Interventions 2022,35,NULL,NULL
621,Interventions 2022,46,NULL,NULL
623,Interventions 2022,152,NULL,NULL
643,Interventions 2022,140,NULL,NULL
649,Interventions 2022,103,NULL,NULL
711,Interventions 2022,160,NULL,NULL
718,Interventions 2022,41,NULL,NULL
729,Interventions 2022,115,NULL,NULL
736,Interventions 2022,157,NULL,NULL
759,Interventions 2022,138,NULL,NULL
763,Interventions 2022,117,NULL,NULL
767,Interventions 2022,118,NULL,NULL
839,Interventions 2022,153,NULL,NULL
890,Interventions 2022,164,NULL,NULL
910,Interventions 2022,130,NULL,NULL
942,Interventions 2022,37,NULL,NULL
1216,Interventions 2022,116,NULL,NULL
1218,Interventions 2022,94,NULL,NULL
1303,Interventions 2022,82,NULL,NULL
1331,Interventions 2022,90,NULL,NULL
1343,Interventions 2022,109,NULL,NULL
1347,Interventions 2022,102,NULL,NULL
1941,Interventions 2022,386,NULL,NULL
79,Interventions 2023,844,NULL,NULL
124,Interventions 2023,107,NULL,NULL
126,Interventions 2023,143,NULL,NULL
129,Interventions 2023,40,NULL,NULL
130,Interventions 2023,49,NULL,NULL
132,Interventions 2023,123,NULL,NULL
134,Interventions 2023,87,NULL,NULL
136,Interventions 2023,39,NULL,NULL
138,Interventions 2023,21,NULL,NULL
140,Interventions 2023,31,NULL,NULL
142,Interventions 2023,73,NULL,NULL
145,Interventions 2023,52,NULL,NULL
146,Interventions 2023,65,NULL,NULL
148,Interventions 2023,71,NULL,NULL
150,Interventions 2023,77,NULL,NULL
153,Interventions 2023,158,NULL,NULL
154,Interventions 2023,81,NULL,NULL
157,Interventions 2023,84,NULL,NULL
161,Interventions 2023,63,NULL,NULL
164,Interventions 2023,135,NULL,NULL
166,Interventions 2023,113,NULL,NULL
169,Interventions 2023,58,NULL,NULL
170,Interventions 2023,137,NULL,NULL
173,Interventions 2023,139,NULL,NULL
176,Interventions 2023,50,NULL,NULL
178,Interventions 2023,144,NULL,NULL
179,Interventions 2023,145,NULL,NULL
181,Interventions 2023,155,NULL,NULL
183,Interventions 2023,147,NULL,NULL
187,Interventions 2023,161,NULL,NULL
189,Interventions 2023,165,NULL,NULL
192,Interventions 2023,95,NULL,NULL
196,Interventions 2023,3,NULL,NULL
197,Interventions 2023,47,NULL,NULL
200,Interventions 2023,10,NULL,NULL
204,Interventions 2023,62,NULL,NULL
205,Interventions 2023,14,NULL,NULL
207,Interventions 2023,89,NULL,NULL
209,Interventions 2023,59,NULL,NULL
211,Interventions 2023,149,NULL,NULL
214,Interventions 2023,36,NULL,NULL
215,Interventions 2023,163,NULL,NULL
217,Interventions 2023,125,NULL,NULL
221,Interventions 2023,18,NULL,NULL
223,Interventions 2023,110,NULL,NULL
226,Interventions 2023,150,NULL,NULL
229,Interventions 2023,134,NULL,NULL
230,Interventions 2023,75,NULL,NULL
233,Interventions 2023,34,NULL,NULL
235,Interventions 2023,166,NULL,NULL
238,Interventions 2023,66,NULL,NULL
239,Interventions 2023,27,NULL,NULL
241,Interventions 2023,151,NULL,NULL
243,Interventions 2023,101,NULL,NULL
245,Interventions 2023,29,NULL,NULL
250,Interventions 2023,146,NULL,NULL
252,Interventions 2023,22,NULL,NULL
255,Interventions 2023,80,NULL,NULL
257,Interventions 2023,98,NULL,NULL
259,Interventions 2023,156,NULL,NULL
261,Interventions 2023,142,NULL,NULL
262,Interventions 2023,45,NULL,NULL
265,Interventions 2023,28,NULL,NULL
266,Interventions 2023,85,NULL,NULL
269,Interventions 2023,112,NULL,NULL
270,Interventions 2023,61,NULL,NULL
272,Interventions 2023,51,NULL,NULL
275,Interventions 2023,42,NULL,NULL
276,Interventions 2023,141,NULL,NULL
279,Interventions 2023,136,NULL,NULL
293,Interventions 2023,162,NULL,NULL
295,Interventions 2023,30,NULL,NULL
297,Interventions 2023,120,NULL,NULL
299,Interventions 2023,154,NULL,NULL
300,Interventions 2023,91,NULL,NULL
303,Interventions 2023,26,NULL,NULL
305,Interventions 2023,60,NULL,NULL
306,Interventions 2023,111,NULL,NULL
309,Interventions 2023,20,NULL,NULL
310,Interventions 2023,17,NULL,NULL
314,Interventions 2023,126,NULL,NULL
318,Interventions 2023,11,NULL,NULL
320,Interventions 2023,54,NULL,NULL
321,Interventions 2023,159,NULL,NULL
323,Interventions 2023,57,NULL,NULL
328,Interventions 2023,148,NULL,NULL
330,Interventions 2023,15,NULL,NULL
332,Interventions 2023,64,NULL,NULL
334,Interventions 2023,70,NULL,NULL
336,Interventions 2023,88,NULL,NULL
337,Interventions 2023,43,NULL,NULL
340,Interventions 2023,129,NULL,NULL
352,Interventions 2023,83,NULL,NULL
355,Interventions 2023,55,NULL,NULL
358,Interventions 2023,100,NULL,NULL
359,Interventions 2023,19,NULL,NULL
362,Interventions 2023,4,NULL,NULL
376,Interventions 2023,44,NULL,NULL
378,Interventions 2023,68,NULL,NULL
381,Interventions 2023,48,NULL,NULL
382,Interventions 2023,105,NULL,NULL
384,Interventions 2023,127,NULL,NULL
409,Interventions 2023,74,NULL,NULL
460,Interventions 2023,122,NULL,NULL
468,Interventions 2023,128,NULL,NULL
499,Interventions 2023,104,NULL,NULL
501,Interventions 2023,38,NULL,NULL
503,Interventions 2023,79,NULL,NULL
505,Interventions 2023,25,NULL,NULL
509,Interventions 2023,76,NULL,NULL
513,Interventions 2023,86,NULL,NULL
518,Interventions 2023,53,NULL,NULL
521,Interventions 2023,114,NULL,NULL
522,Interventions 2023,119,NULL,NULL
524,Interventions 2023,131,NULL,NULL
528,Interventions 2023,72,NULL,NULL
532,Interventions 2023,9,NULL,NULL
533,Interventions 2023,133,NULL,NULL
537,Interventions 2023,106,NULL,NULL
539,Interventions 2023,13,NULL,NULL
543,Interventions 2023,108,NULL,NULL
545,Interventions 2023,23,NULL,NULL
553,Interventions 2023,457,NULL,NULL
554,Interventions 2023,458,NULL,NULL
555,Interventions 2023,33,NULL,NULL
559,Interventions 2023,69,NULL,NULL
562,Interventions 2023,56,NULL,NULL
563,Interventions 2023,67,NULL,NULL
582,Interventions 2023,430,NULL,NULL
597,Interventions 2023,99,NULL,NULL
609,Interventions 2023,96,NULL,NULL
611,Interventions 2023,93,NULL,NULL
613,Interventions 2023,431,NULL,NULL
615,Interventions 2023,35,NULL,NULL
622,Interventions 2023,46,NULL,NULL
624,Interventions 2023,152,NULL,NULL
648,Interventions 2023,103,NULL,NULL
713,Interventions 2023,160,NULL,NULL
717,Interventions 2023,41,NULL,NULL
728,Interventions 2023,115,NULL,NULL
730,Interventions 2023,16,NULL,NULL
735,Interventions 2023,157,NULL,NULL
768,Interventions 2023,118,NULL,NULL
838,Interventions 2023,153,NULL,NULL
891,Interventions 2023,164,NULL,NULL
941,Interventions 2023,37,NULL,NULL
1217,Interventions 2023,116,NULL,NULL
1219,Interventions 2023,94,NULL,NULL
1305,Interventions 2023,82,NULL,NULL
1332,Interventions 2023,90,NULL,NULL
1342,Interventions 2023,109,NULL,NULL
1348,Interventions 2023,102,NULL,NULL
2388,Interventions 2023,650,NULL,NULL
1,Werkuren standaard - klant met PreventionCare (schatting),843,NULL,NULL
2,Werkuren standaard - klant zonder PreventionCare (in regie - schatting),842,NULL,NULL
3,Werkuren standaard - klant met prevention (in regie),831,NULL,NULL
4,Cloud Landing Zone & Regions,836,NULL,NULL
5,Network-as-a-Service (SAVACO Datacenter/Atlas Local or Global/co-Managed IaaS),836,NULL,NULL
6,Internet-as-a-Service (SAVACO Datacenter/Atlas Local or Global),836,NULL,NULL
7,Perimeter Security-as-a-Service (SAVACO Datacenter/Atlas Local or Global),836,NULL,NULL
8,Infrastructure-as-a-Service (SAVACO Atlas Local & Global) - MOVE,836,NULL,NULL
9,Infrastructure-as-a-Service (SAVACO Atlas Local & Global) - (RE)BUILD,836,NULL,NULL
10,Datacenter Documentation,836,NULL,NULL
11,Assistentie Application & Database services,836,NULL,NULL
12,Diverse regieprestaties binnen project,836,NULL,NULL
13,Project Management,836,NULL,NULL
14,Diensten,834,NULL,NULL
15,Diensten,833,NULL,NULL
16,Opzetten van de tenant in Azure,830,NULL,NULL
17,Basic opzet server(s),830,NULL,NULL
18,Configuratie naar DC,830,NULL,NULL
19,Configuratie naar RDS server(s),830,NULL,NULL
20,Configuratie naar databaseserver,830,NULL,NULL
21,Users aanmaken,830,NULL,NULL
22,Azure AD Connect,830,NULL,NULL
23,"GPO's, Shares and security groups",830,NULL,NULL
24,VPN IP-sec tunnel opzetten,830,NULL,NULL
25,Installatie printers,830,NULL,NULL
26,Installatie applicaties on RDS,830,NULL,NULL
27,Overzet data oude naar nieuwe server,830,NULL,NULL
28,Connecteren van client,830,NULL,NULL
29,Oude server opkuisen en afsluiten,830,NULL,NULL
30,Documentatie aanpassen + visio,830,NULL,NULL
31,Nazorg,830,NULL,NULL
32,Reserve,830,NULL,NULL
33,"Intake, planning, co?rdinatie & opvolging",830,NULL,NULL
34,Installations C&I - 1 hour rate A : Expert Services & Project Management,837,NULL,NULL
35,Installations C&I - 1 hour rate B : Standard Services,837,NULL,NULL
36,Installations C&I - 1 hour rate B : Configuratie UPS,846,NULL,NULL
37,KBEMGELD - Update Drafting Batchplot,832,NULL,NULL
38,Tickets and Questions,832,NULL,NULL
39,KNLVDLPA - changes API,832,NULL,NULL
40,SCP/Industrial IoT - Installatie OPC Router,840,NULL,NULL
41,SCP/Industrial IoT - OPC Router Connection to OPC UA Server,840,NULL,NULL
42,SCP/Industrial IoT - OPC Router Connection to SQL Server,840,NULL,NULL
43,SCP/Industrial IoT - OPC Router Connection to SAP Server,840,NULL,NULL
44,SCP/Industrial IoT - Station 1: OPC Router Action (OPC-SQL-OPC),840,NULL,NULL
45,SCP/Industrial IoT - Station 2: OPC Router Action (OPC-SAP),840,NULL,NULL
46,SCP/Industrial IoT - Station 3: OPC Router Action (OPC-SAP),840,NULL,NULL
47,SCP/Industrial IoT - Support,840,NULL,NULL
48,SCP/Industrial IoT - Project Management,840,NULL,NULL
49,Installation Windchill version (12+) and configuration back-up (automated),828,NULL,NULL
50,Windchill HTTPS & AD Integration,828,NULL,NULL
51,Installation/configuration Creo Elements Direct & Solidworks CAD worker,828,NULL,NULL
52,"Swipe (custom batch actions, custom queries, customer reports)",828,NULL,NULL
53,Integration Saphir,828,NULL,NULL
54,"Downloadservice, listeners, publish queues, schedule jobs,command line tools",828,NULL,NULL
55,Specific customizations,828,NULL,NULL
56,Customizations - Key User Validation Assistance,828,NULL,NULL
57,Customizations - Project Management,828,NULL,NULL
58,Test Upgrade - Upgrade to Windchill 12.1,828,NULL,NULL
59,Test Upgrade - User assistance during validation,828,NULL,NULL
60,Test Upgrade - Analysis PLM,828,NULL,NULL
61,Test Upgrade - Project Management,828,NULL,NULL
62,Rehearsal Upgrade - Upgrade to Windchill 12.1,828,NULL,NULL
63,Rehearsal Upgrade - User assistance during validation,828,NULL,NULL
64,Rehearsal Upgrade - Project Management,828,NULL,NULL
65,Production Upgrade - Upgrade to Windchill 12.1,828,NULL,NULL
66,Production Upgrade - Rehost production environment to new test environment,828,NULL,NULL
67,Production Upgrade - User assistance after go live,828,NULL,NULL
68,Production Upgrade - Project Management,828,NULL,NULL
69,Training - Windchill 12.1 What?s new Training  preparation,828,NULL,NULL
70,Training - Windchill 12.1 What?s new Training for KeyUsers and Admins (Up to 3 users),828,NULL,NULL
71,"Modeling/Drafting configuration - Update license server, software & licences, CoCreate config",828,NULL,NULL
72,Modeling/Drafting configuration - Test installation & test plan & Batchplot,828,NULL,NULL
73,Modeling/Drafting configuration - User Assistance during roll-out,828,NULL,NULL
74,Modeling/Drafting configuration - Project Management,828,NULL,NULL
75,Training - Creo Elements Direct 20.5  What?s new Training preparation,828,NULL,NULL
76,Training - Creo Elements Direct 20.5  What?s new Training for KeyUsers and Admins (Up to 3 users),828,NULL,NULL
77,Installations C&I - 1 hour rate A : Expert Services & Project Management,829,NULL,NULL
78,Installations C&I - 1 hour rate B : Standard Services,829,NULL,NULL
80,Help & Fix,835,NULL,NULL
81,Maintain & Update outside Forfait,835,NULL,NULL
82,Maintain & Update inside Forfait,835,NULL,NULL
83,Services Management outside Forfait,835,NULL,NULL
84,Services Management inside Forfait,835,NULL,NULL
85,Smarrtis Forfait,835,NULL,NULL
86,Help & Fix,839,NULL,NULL
87,Maintain & Update inside ATLAS Forfait,839,NULL,NULL
88,Maintain & Update inside DaaS Forfait,839,NULL,NULL
89,Services Management,839,NULL,NULL
90,Services Management inside ATLAS Forfait,839,NULL,NULL
91,Smarrtis Forfait,839,NULL,NULL
92,Onsite Servicedesk,839,NULL,NULL
93,Set-up disks,841,NULL,NULL
94,Help & Fix,827,NULL,NULL
95,Maintain & Update outside Forfait,827,NULL,NULL
96,Maintain & Update inside Forfait,827,NULL,NULL
97,Services Management,827,NULL,NULL
98,Services Management inside Forfait,827,NULL,NULL
99,Smarrtis Forfait,827,NULL,NULL
100,Placeholder 4me werk,597,NULL,NULL
101,Operationele services - ondersteuning Artes Helpdesk,619,NULL,NULL
102,Operationele services - PM (15%),619,NULL,NULL
103,Projectenwerk - goedkeuringsstroom werfdocumenten,619,NULL,NULL
110,Knowledge Sessions,782,NULL,NULL
111,Migratie intranet naar SharePoint Online,782,NULL,NULL
112,Sensitivity labeling,782,NULL,NULL
113,PowerApp receptie,782,NULL,NULL
114,Code Review (Secure Coding Standards),782,NULL,NULL
115,Automatisch verwerken inkomende facturen,782,NULL,NULL
116,Excel ontwikkelingen,782,NULL,NULL
117,Online onkostennota's,782,NULL,NULL
118,Customer Portal 2021,782,NULL,NULL
119,MS Customer Engagement,782,NULL,NULL
120,Savaco Certificates,782,NULL,NULL
121,Service catalog,782,NULL,NULL
122,Herwerken intranet,782,NULL,NULL
123,Diensten buiten het project,782,NULL,NULL
139,Interventions,21,NULL,NULL
163,Services Management,63,NULL,NULL
172,Services Management,137,NULL,NULL
185,Services Management,147,NULL,NULL
186,Atlas DaaS updates,147,NULL,NULL
191,Services Management,165,NULL,NULL
194,Services Management,3,NULL,NULL
199,Services Management,47,NULL,NULL
203,Services Management,62,NULL,NULL
220,Services Management,18,NULL,NULL
225,Workplace Management Improve & Accelerate,150,NULL,NULL
228,Services Management,134,NULL,NULL
237,Services Management,66,NULL,NULL
248,Fileserver migratie,146,NULL,NULL
249,O365 migraties,146,NULL,NULL
251,Interventions,22,NULL,NULL
254,Services Management,80,NULL,NULL
280,Beschikbaar stellen veiligheidsfilm,653,NULL,NULL
281,Registratie medewerkers,653,NULL,NULL
282,Veiligheidsexamen,653,NULL,NULL
283,Detail analyse,653,NULL,NULL
284,Assistentie tijdens testen,653,NULL,NULL
285,Assistentie na go live,653,NULL,NULL
286,Documentatie,653,NULL,NULL
287,Project Management,653,NULL,NULL
288,Koppeling eID reader,653,NULL,NULL
289,Koppeling met Webcam voor foto in combinatie met manuele registratie,653,NULL,NULL
291,Out of initial scope: Read only zetten van bepaalde velden,653,NULL,NULL
324,Services Management 2023,57,NULL,NULL
326,Services Management,57,NULL,NULL
339,Services Management,43,NULL,NULL
343,Services Management 2022,78,NULL,NULL
345,Detect & Contain,78,NULL,NULL
346,Improve & Accelerate -FWM- Engineer,78,NULL,NULL
347,Improve & Accelerate -FWM- Technology Consultant,78,NULL,NULL
348,Update & Maintain,78,NULL,NULL
349,Services Management 2023,78,NULL,NULL
350,Improve & Accelerate diensten,349,NULL,NULL
351,Services Management 2023,83,NULL,NULL
353,Services Management 2022,83,NULL,NULL
361,Data Warehouse - Development 2023,642,NULL,NULL
364,Services Management,4,NULL,NULL
365,Quarterly reviews 2023,4,NULL,NULL
366,Infrastructure-as-a-Service (SAVACO Datacenter/Atlas) - MOVE,694,NULL,NULL
367,Communicate-as-a-Service (Public Cloud/MS Office 365/GFI),694,NULL,NULL
368,Infrastructure-as-a-Service (SAVACO Datacenter/Atlas) - (RE)BUILD,694,NULL,NULL
369,Perimeter Security-as-a-Service (SAVACO Datacenter/Atlas),694,NULL,NULL
370,Core infrastructure services (dedicated),694,NULL,NULL
371,Desktop-as-a-Service (SAVACO Datacenter/Atlas),694,NULL,NULL
372,Diverse regieprestaties binnen project,694,NULL,NULL
373,Project Management,694,NULL,NULL
374,Diensten buiten het project,694,NULL,NULL
379,Services Management,48,NULL,NULL
386,Afwerkingen project,340,NULL,NULL
388,Training Creo 4.0 (from Creo 3.0),288,NULL,NULL
389,Care & Control Services - Monitor & Alert,288,NULL,NULL
390,Care & Control Services - Help & Fix,288,NULL,NULL
391,Care & Control Services - Track & Propose,288,NULL,NULL
392,Care & Control Services - Maintain & Update,288,NULL,NULL
393,Care & Control Services - Protect & Recover,288,NULL,NULL
394,Care & Control Services - Project Management,288,NULL,NULL
395,Improve & Accelerate Services - Be inspired,288,NULL,NULL
396,Improve & Accelerate Services - Discover,288,NULL,NULL
397,Improve & Accelerate Services - Apply,288,NULL,NULL
398,Improve & Accelerate Services - Embed,288,NULL,NULL
399,Improve & Accelerate Services - Project Management,288,NULL,NULL
400,Modifier demande de promotion (8h),288,NULL,NULL
401,ProjectLink Part 1 (12h),288,NULL,NULL
402,Add workers (convertisseurs) (8h),288,NULL,NULL
405,"SCC - Installatie, Configuratie, Documentatie, Development",445,NULL,NULL
406,AD integration & configuration,444,NULL,NULL
407,AD integration - Project management,444,NULL,NULL
410,SharePoint acties,680,NULL,NULL
411,Analysis PDM,290,NULL,NULL
412,Installation - Windchill Production Environment,290,NULL,NULL
413,Installation - Windchill Test Environment (optional),290,NULL,NULL
414,Installation - CAD worker,290,NULL,NULL
415,Installation - Configure HTTPS,290,NULL,NULL
416,Installation - Configure Active Directory Integration,290,NULL,NULL
417,Configuration - Windchill,290,NULL,NULL
418,Configuration - CAD,290,NULL,NULL
419,Configuration - CAD Worker,290,NULL,NULL
421,Classification - Installation,290,NULL,NULL
422,Classification - Analysis/Workshop,290,NULL,NULL
423,Classification - Assistance for Classification Admin,290,NULL,NULL
424,SWIPE Batch Actions - Installation & configuration,290,NULL,NULL
425,SWIPE Queries - Installation & configuration,290,NULL,NULL
426,SWIPE Reports - Installation & configuration,290,NULL,NULL
427,Private Course Introduction to Windchill PDMLink 11 with CAD Data Management  - SAVACO,290,NULL,NULL
428,User Assistance during data upload,290,NULL,NULL
429,User Assistance after Go-Live,290,NULL,NULL
431,Change Req 002 - materialen Solid Steel in WT synchroniseren,290,NULL,NULL
432,Change Req 003 - categorie/bewerkingen,290,NULL,NULL
433,Change Req 004 - autom raw material aan platen,290,NULL,NULL
434,Change Req 005 - invullen ref Maeyaert vanuit Modeling,290,NULL,NULL
435,Change Req 006 - export naar Vivaldi,290,NULL,NULL
436,Change Req 007 - batchplot DXF,290,NULL,NULL
437,Change Req 008 - alle files exporteren,290,NULL,NULL
438,Change Req 009 - interactie met BOOST - analyse,290,NULL,NULL
439,Change Req 010 - rename models,290,NULL,NULL
441,Change Req 012 - Material Database Management,290,NULL,NULL
442,Change Req 013 - Topassy als naam eerste veld DSTV file,290,NULL,NULL
443,Change Req 009 - interactie met BOOST - uitvoering,290,NULL,NULL
444,Change Req 014: File Watcher for xml from ERP,290,NULL,NULL
445,Change Req 015: Recreate raw materials file,290,NULL,NULL
446,Change Req 016: Extra filter in the create raw material dialog,290,NULL,NULL
447,Change Req 017: Extension assign raw materials tool,290,NULL,NULL
448,Change Req 018: Project Management,290,NULL,NULL
449,Diensten buiten scope vanaf 05/2022,290,NULL,NULL
451,Feature 3579: Annotation : Assign Operations to Sheets,290,NULL,NULL
452,Feature 3586: (45) (Pre)Release Procedure,290,NULL,NULL
453,Feature 3557: Assign Raw Material to Profiles,290,NULL,NULL
457,M365 LVD Indonesia,590,NULL,NULL
458,M365 LVD India,590,NULL,NULL
461,Install ProjectLink on Testenvironment - Improve & Accelerate Services - Apply,294,NULL,NULL
462,Workshop ProjectLink - Improve & Accelerate Services - Discover,294,NULL,NULL
463,Configuration ProjectLink on testenvironment - Improve & Accelerate Services - Apply,294,NULL,NULL
464,Support during validation - Improve & Accelerate Services - Apply,294,NULL,NULL
465,Install ProjectLink on Productionenvironment - Improve & Accelerate Services - Apply,294,NULL,NULL
466,Configuratie intranet op SharePoint Online,253,NULL,NULL
469,Project Management,549,NULL,NULL
470,Assistentie gebruikers,549,NULL,NULL
471,Creo Parametric & Basisconfiguratie,549,NULL,NULL
472,Private Course Introduction to Windchill PDMLink 12.x for Heavy Users,549,NULL,NULL
473,Private Course Fasttrack to Creo Parametric 9.0,549,NULL,NULL
475,MCAD Data Mgmnt - Analyse PDM,549,NULL,NULL
476,MCAD Data Mgmnt - Installation - Windchill Test,549,NULL,NULL
477,MCAD Data Mgmnt - Installation - Windchill Productie,549,NULL,NULL
478,MCAD Data Mgmnt - Configuratie Windchill,549,NULL,NULL
479,CAD en PLM Assistance,549,NULL,NULL
480,Setup 4me,226,NULL,NULL
486,Build & Integrate,226,NULL,NULL
487,Cybersecurity user awareness training,226,NULL,NULL
488,Ethical Phishing campaign (1 year),226,NULL,NULL
489,KnowBe4 extra,226,NULL,NULL
490,RWS - N-Able client deployment,226,NULL,NULL
491,Windows update rings + Bitlocker,226,NULL,NULL
492,MS Defender for Endpoint,226,NULL,NULL
493,CyberArk,226,NULL,NULL
494,Autopilot EU,226,NULL,NULL
495,MDM conversion,226,NULL,NULL
496,Autopilot US/MX + Testing Azure AD joined devices,226,NULL,NULL
502,Branch firewalls renewal,79,NULL,NULL
507,Services Management,25,NULL,NULL
511,ChildBenifit ACC Release,86,NULL,NULL
512,ChildBenefit PROD Release,86,NULL,NULL
526,Services Management,131,NULL,NULL
529,afwerkingen,412,NULL,NULL
530,afwerkingen,303,NULL,NULL
536,Services Management,106,NULL,NULL
540,SCP Consultancy,188,NULL,NULL
541,DIA Consultancy,188,NULL,NULL
544,Configuratie,423,NULL,NULL
546,Help & Fix,23,NULL,NULL
548,Services Management,23,NULL,NULL
549,Maintain & Update 2022 - Remote,23,NULL,NULL
550,Maintain & Update 2023,23,NULL,NULL
551,afwerkingen,402,NULL,NULL
552,"SCC - Installatie, Configuratie, Documentatie, Development",269,NULL,NULL
557,Opkuis hardware na migratie,339,NULL,NULL
558,afwerkingen,403,NULL,NULL
564,Services Management,67,NULL,NULL
566,Maintain & Update - Forfait,67,NULL,NULL
567,Rack & Physical Servers,736,NULL,NULL
568,Networkinfrastructure,736,NULL,NULL
569,Primary block-based storage - SAN,736,NULL,NULL
570,Backup,736,NULL,NULL
