SK,Date_SK,Planning_Resource_SK,Type,PlannedHours,BillableHours,Planning_Project_SK,Planning_Project_Task_SK,Planning_Department_SK
14113,20230309,61,Approved,8,8,514,3031,3
14160,20230309,162,Approved,8,8,514,3031,20
14171,20230310,15,Approved,8,8,514,3031,2
14197,20230310,58,Approved,8,8,514,3031,3
14241,20230310,162,Approved,8,8,514,3031,20
14307,20230313,115,Approved,8,8,514,3031,20
14338,20230313,170,Approved,8,8,514,3031,16
14387,20230314,61,Approved,8,8,514,3031,3
14410,20230314,115,Approved,8,8,514,3031,20
14467,20230315,45,Approved,8,8,514,3031,21
14480,20230315,59,Approved,8,8,514,3031,12
14507,20230315,115,Approved,8,8,514,3031,20
14556,20230316,35,Approved,8,8,514,3031,20
14623,20230316,162,Approved,8,8,514,3031,20
14628,20230316,170,Approved,8,8,514,3031,16
14671,20230317,35,Approved,8,8,514,3031,20
14802,20230317,170,Approved,8,8,514,3031,16
14888,20230320,16,Approved,8,8,514,3031,2
14912,20230320,49,Approved,8,8,514,3031,22
14983,20230321,16,Approved,8,8,514,3031,2
15007,20230321,49,Approved,8,8,514,3031,22
15072,20230322,16,Approved,8,8,514,3031,2
15117,20230322,81,Approved,8,8,514,3031,12
15158,20230323,16,Approved,8,8,514,3031,2
15194,20230323,81,Approved,8,8,514,3031,12
15239,20230324,16,Approved,8,8,514,3031,2
15274,20230324,81,Approved,8,8,514,3031,12
15306,20230327,14,Approved,8,8,514,3031,2
15335,20230327,61,Approved,8,8,514,3031,3
15379,20230327,162,Approved,8,8,514,3031,20
15388,20230328,14,Approved,8,8,514,3031,2
15422,20230328,61,Approved,8,8,514,3031,3
15465,20230328,162,Approved,8,8,514,3031,20
15472,20230329,14,Approved,8,8,514,3031,2
15504,20230329,61,Approved,8,8,514,3031,3
15547,20230329,162,Approved,8,8,514,3031,20
15554,20230330,14,Approved,8,8,514,3031,2
15579,20230330,48,Approved,8,8,514,3031,22
15587,20230330,61,Approved,8,8,514,3031,3
15663,20230331,48,Approved,8,8,514,3031,22
15680,20230331,61,Approved,8,8,514,3031,3
15741,20230331,162,Approved,8,8,514,3031,20
15839,20230403,47,Approved,8,8,514,3031,22
15888,20230403,170,Approved,8,8,514,3031,16
15915,20230404,47,Approved,8,8,514,3031,22
15964,20230404,170,Approved,8,8,514,3031,16
15989,20230405,45,Approved,8,8,514,3031,21
16042,20230405,170,Approved,8,8,514,3031,16
16062,20230406,45,Approved,8,8,514,3031,21
16112,20230406,170,Approved,8,8,514,3031,16
16123,20230407,45,Approved,8,8,514,3031,21
16156,20230407,170,Approved,8,8,514,3031,16
16165,20230411,15,Approved,8,8,514,3031,2
16212,20230411,115,Approved,8,8,514,3031,20
16262,20230412,45,Approved,8,8,514,3031,21
16286,20230412,115,Approved,8,8,514,3031,20
16334,20230413,45,Approved,8,8,514,3031,21
16356,20230413,115,Approved,8,8,514,3031,20
16386,20230414,15,Approved,8,8,514,3031,2
16413,20230414,47,Approved,8,8,514,3031,22
16503,20230417,16,Approved,8,8,514,3031,2
16516,20230417,39,Approved,8,8,514,3031,21
16570,20230417,170,Approved,8,8,514,3031,16
16578,20230418,16,Approved,8,8,514,3031,2
16593,20230418,39,Approved,8,8,514,3031,21
16608,20230418,58,Approved,8,8,514,3031,3
16653,20230419,16,Approved,8,8,514,3031,2
16669,20230419,39,Approved,8,8,514,3031,21
16685,20230419,58,Approved,8,8,514,3031,3
16728,20230420,16,Approved,8,8,514,3031,2
16748,20230420,49,Approved,8,8,514,3031,22
16793,20230420,170,Approved,8,8,514,3031,16
16798,20230421,16,Approved,8,8,514,3031,2
16818,20230421,58,Approved,8,8,514,3031,3
16849,20230421,170,Approved,8,8,514,3031,16
16871,20230424,44,Approved,8,8,514,3031,21
16885,20230424,67,Approved,8,8,514,3031,12
16918,20230424,162,Approved,8,8,514,3031,20
16942,20230425,44,Approved,8,8,514,3031,21
16955,20230425,67,Approved,8,8,514,3031,12
16991,20230425,162,Approved,8,8,514,3031,20
17031,20230426,67,Approved,8,8,514,3031,12
17060,20230426,162,Approved,8,8,514,3031,20
17081,20230427,44,Approved,8,8,514,3031,21
17092,20230427,67,Approved,8,8,514,3031,12
17101,20230427,81,Approved,8,8,514,3031,12
17154,20230428,44,Approved,8,8,514,3031,21
17179,20230428,67,Approved,8,8,514,3031,12
17197,20230428,81,Approved,8,8,514,3031,12
17241,20230502,14,Approved,8,8,514,3031,2
17254,20230502,35,Approved,8,8,514,3031,20
17311,20230503,14,Approved,8,8,514,3031,2
17323,20230503,35,Approved,8,8,514,3031,20
17381,20230504,14,Approved,8,8,514,3031,2
17394,20230504,35,Approved,8,8,514,3031,20
17443,20230505,14,Approved,8,8,514,3031,2
17449,20230505,35,Approved,8,8,514,3031,20
17488,20230508,16,Approved,8,8,514,3031,2
17528,20230508,115,Approved,8,8,514,3031,20
17547,20230508,170,Approved,8,8,514,3031,16
17557,20230509,16,Approved,8,8,514,3031,2
17606,20230509,115,Approved,8,8,514,3031,20
17624,20230509,170,Approved,8,8,514,3031,16
17629,20230510,16,Approved,8,8,514,3031,2
17649,20230510,47,Approved,8,8,514,3031,22
17672,20230510,115,Approved,8,8,514,3031,20
17697,20230511,16,Approved,8,8,514,3031,2
17714,20230511,47,Approved,8,8,514,3031,22
17715,20230511,48,Approved,8,8,514,3031,22
17764,20230512,16,Approved,8,8,514,3031,2
17785,20230512,48,Approved,8,8,514,3031,22
17857,20230512,170,Approved,8,8,514,3031,16
17879,20230515,44,Approved,8,8,514,3031,21
17886,20230515,58,Approved,8,8,514,3031,3
17940,20230516,44,Approved,8,8,514,3031,21
17956,20230516,67,Approved,8,8,514,3031,12
18007,20230517,44,Approved,8,8,514,3031,21
18014,20230517,58,Approved,8,8,514,3031,3
18048,20230517,162,Approved,8,8,514,3031,20
18088,20230522,59,Approved,8,8,514,3031,12
18122,20230522,162,Approved,8,8,514,3031,20
18151,20230523,59,Approved,8,8,514,3031,12
18189,20230523,162,Approved,8,8,514,3031,20
18218,20230524,59,Approved,8,8,514,3031,12
18253,20230524,162,Approved,8,8,514,3031,20
18284,20230525,59,Approved,8,8,514,3031,12
18391,20230526,59,Approved,8,8,514,3031,12
18408,20230526,67,Approved,8,8,514,3031,12
18540,20230530,45,Approved,8,8,514,3031,21
18551,20230530,61,Approved,8,8,514,3031,3
18560,20230530,82,Approved,8,8,514,3031,12
18602,20230531,45,Approved,8,8,514,3031,21
18615,20230531,61,Approved,8,8,514,3031,3
18627,20230531,82,Approved,8,8,514,3031,12
18667,20230601,45,Approved,8,8,514,3031,21
18675,20230601,61,Approved,8,8,514,3031,3
18686,20230601,82,Approved,8,8,514,3031,12
18718,20230602,45,Approved,8,8,514,3031,21
18721,20230602,61,Approved,8,8,514,3031,3
18730,20230602,82,Approved,8,8,514,3031,12
18765,20230605,58,Approved,8,8,514,3031,3
18786,20230605,115,Approved,8,8,514,3031,20
18830,20230606,58,Approved,8,8,514,3031,3
18852,20230606,115,Approved,8,8,514,3031,20
18905,20230607,81,Approved,8,8,514,3031,12
18911,20230607,115,Approved,8,8,514,3031,20
18936,20230608,16,Approved,8,8,514,3031,2
18968,20230608,81,Approved,8,8,514,3031,12
19001,20230609,16,Approved,8,8,514,3031,2
19076,20230609,81,Approved,8,8,514,3031,12
19144,20230612,16,Approved,8,8,514,3031,2
19150,20230612,39,Approved,8,8,514,3031,21
19198,20230613,16,Approved,8,8,514,3031,2
19205,20230613,39,Approved,8,8,514,3031,21
19259,20230614,16,Approved,8,8,514,3031,2
19269,20230614,39,Approved,8,8,514,3031,21
19316,20230615,16,Approved,8,8,514,3031,2
19324,20230615,39,Approved,8,8,514,3031,21
19375,20230616,16,Approved,8,8,514,3031,2
19381,20230616,39,Approved,8,8,514,3031,21
19437,20230619,67,Approved,8,8,514,3031,12
19465,20230619,162,Approved,8,8,514,3031,20
19493,20230620,58,Approved,8,8,514,3031,3
19498,20230620,67,Approved,8,8,514,3031,12
19531,20230620,162,Approved,8,8,514,3031,20
19560,20230621,58,Approved,8,8,514,3031,3
19565,20230621,67,Approved,8,8,514,3031,12
19594,20230621,162,Approved,8,8,514,3031,20
19607,20230622,35,Approved,8,8,514,3031,20
19624,20230622,67,Approved,8,8,514,3031,12
19672,20230623,35,Approved,8,8,514,3031,20
19696,20230623,58,Approved,8,8,514,3031,3
19708,20230623,67,Approved,8,8,514,3031,12
19776,20230626,49,Approved,8,8,514,3031,22
19817,20230626,170,Approved,8,8,514,3031,16
19831,20230627,49,Approved,8,8,514,3031,22
19872,20230627,170,Approved,8,8,514,3031,16
19888,20230628,49,Approved,8,8,514,3031,22
19908,20230628,81,Approved,8,8,514,3031,12
19944,20230629,49,Approved,8,8,514,3031,22
19961,20230629,81,Approved,8,8,514,3031,12
19988,20230630,49,Approved,8,8,514,3031,22
20001,20230630,81,Approved,8,8,514,3031,12
20051,20230703,82,Approved,8,8,514,3031,12
20056,20230703,115,Approved,8,8,514,3031,20
20100,20230704,82,Approved,8,8,514,3031,12
20105,20230704,115,Approved,8,8,514,3031,20
20143,20230705,82,Approved,8,8,514,3031,12
20146,20230705,115,Approved,8,8,514,3031,20
20172,20230706,48,Approved,8,8,514,3031,22
20190,20230706,82,Approved,8,8,514,3031,12
20236,20230707,48,Approved,8,8,514,3031,22
20276,20230707,82,Approved,8,8,514,3031,12
20314,20230710,16,Approved,8,8,514,3031,2
20322,20230710,44,Approved,8,8,514,3031,21
20329,20230710,58,Approved,8,8,514,3031,3
20364,20230711,16,Approved,8,8,514,3031,2
20374,20230711,44,Approved,8,8,514,3031,21
20383,20230711,58,Approved,8,8,514,3031,3
20413,20230712,16,Approved,8,8,514,3031,2
20419,20230712,44,Approved,8,8,514,3031,21
20428,20230712,61,Approved,8,8,514,3031,3
20460,20230713,16,Approved,8,8,514,3031,2
20466,20230713,44,Approved,8,8,514,3031,21
20476,20230713,61,Approved,8,8,514,3031,3
20508,20230714,16,Approved,8,8,514,3031,2
20514,20230714,44,Approved,8,8,514,3031,21
20517,20230714,61,Approved,8,8,514,3031,3
20551,20230717,45,Approved,8,8,514,3031,21
20557,20230717,57,Approved,8,8,514,3031,3
20577,20230717,162,Approved,8,8,514,3031,20
20595,20230718,45,Approved,8,8,514,3031,21
20602,20230718,57,Approved,8,8,514,3031,3
20627,20230718,162,Approved,8,8,514,3031,20
20640,20230719,40,Approved,8,8,514,3031,20
20650,20230719,57,Approved,8,8,514,3031,3
20665,20230719,115,Approved,8,8,514,3031,20
20690,20230720,40,Approved,8,8,514,3031,20
20705,20230720,115,Approved,8,8,514,3031,20
8714,20230102,143,Approved,8,8,514,3035,12
8798,20230103,143,Approved,8,8,514,3035,12
8884,20230104,143,Approved,8,8,514,3035,12
8972,20230105,143,Approved,8,8,514,3035,12
9054,20230106,143,Approved,8,8,514,3035,12
9698,20230116,143,Approved,8,8,514,3035,12
9780,20230117,81,Approved,8,8,514,3035,12
9895,20230118,81,Approved,8,8,514,3035,12
9999,20230119,81,Approved,8,8,514,3035,12
10092,20230120,81,Approved,8,8,514,3035,12
10242,20230123,164,Approved,8,8,514,3035,12
10357,20230124,164,Approved,8,8,514,3035,12
10475,20230125,164,Approved,8,8,514,3035,12
10588,20230126,164,Approved,8,8,514,3035,12
10679,20230127,164,Approved,8,8,514,3035,12
10765,20230130,143,Approved,8,8,514,3035,12
10888,20230131,143,Approved,8,8,514,3035,12
11009,20230201,143,Approved,8,8,514,3035,12
11133,20230202,143,Approved,8,8,514,3035,12
11290,20230203,143,Approved,8,8,514,3035,12
11436,20230206,164,Approved,8,8,514,3035,12
11540,20230207,143,Approved,8,8,514,3035,12
11661,20230208,143,Approved,8,8,514,3035,12
11879,20230210,143,Approved,8,8,514,3035,12
11956,20230213,82,Approved,8,8,514,3035,12
12083,20230214,82,Approved,8,8,514,3035,12
12204,20230215,82,Approved,8,8,514,3035,12
12326,20230216,82,Approved,8,8,514,3035,12
12508,20230217,82,Approved,8,8,514,3035,12
12708,20230220,164,Approved,8,8,514,3035,12
12828,20230221,164,Approved,8,8,514,3035,12
12930,20230222,164,Approved,8,8,514,3035,12
13031,20230223,164,Approved,8,8,514,3035,12
13130,20230224,164,Approved,8,8,514,3035,12
13227,20230227,143,Approved,8,8,514,3035,12
13353,20230228,143,Approved,8,8,514,3035,12
13469,20230301,143,Approved,8,8,514,3035,12
13587,20230302,143,Approved,8,8,514,3035,12
13723,20230303,143,Approved,8,8,514,3035,12
13849,20230306,164,Approved,8,8,514,3035,12
14299,20230313,81,Approved,8,8,514,3035,12
14401,20230314,81,Approved,8,8,514,3035,12
14497,20230315,81,Approved,8,8,514,3035,12
14614,20230316,143,Approved,8,8,514,3035,12
14735,20230317,81,Approved,8,8,514,3035,12
14969,20230320,164,Approved,8,8,514,3035,12
15061,20230321,164,Approved,8,8,514,3035,12
15145,20230322,164,Approved,8,8,514,3035,12
15226,20230323,164,Approved,8,8,514,3035,12
15298,20230324,164,Approved,8,8,514,3035,12
15346,20230327,82,Approved,8,8,514,3035,12
15435,20230328,82,Approved,8,8,514,3035,12
15516,20230329,82,Approved,8,8,514,3035,12
15596,20230330,82,Approved,8,8,514,3035,12
15705,20230331,82,Approved,8,8,514,3035,12
15877,20230403,143,Approved,8,8,514,3035,12
16205,20230411,82,Approved,8,8,514,3035,12
16282,20230412,82,Approved,8,8,514,3035,12
16351,20230413,82,Approved,8,8,514,3035,12
16454,20230414,82,Approved,8,8,514,3035,12
16568,20230417,164,Approved,8,8,514,3035,12
16645,20230418,164,Approved,8,8,514,3035,12
16719,20230419,164,Approved,8,8,514,3035,12
16791,20230420,164,Approved,8,8,514,3035,12
16846,20230421,164,Approved,8,8,514,3035,12
16909,20230424,143,Approved,8,8,514,3035,12
16983,20230425,143,Approved,8,8,514,3035,12
17054,20230426,143,Approved,8,8,514,3035,12
17115,20230427,143,Approved,8,8,514,3035,12
17217,20230428,143,Approved,8,8,514,3035,12
17303,20230502,164,Approved,8,8,514,3035,12
17544,20230508,164,Approved,8,8,514,3035,12
17622,20230509,164,Approved,8,8,514,3035,12
17688,20230510,164,Approved,8,8,514,3035,12
17744,20230511,143,Approved,8,8,514,3035,12
17852,20230512,164,Approved,8,8,514,3035,12
17898,20230515,81,Approved,8,8,514,3035,12
17965,20230516,81,Approved,8,8,514,3035,12
18028,20230517,81,Approved,8,8,514,3035,12
18124,20230522,164,Approved,8,8,514,3035,12
18574,20230530,143,Approved,8,8,514,3035,12
18638,20230531,143,Approved,8,8,514,3035,12
18699,20230601,143,Approved,8,8,514,3035,12
18742,20230602,143,Approved,8,8,514,3035,12
18781,20230605,82,Approved,8,8,514,3035,12
18845,20230606,82,Approved,8,8,514,3035,12
18906,20230607,82,Approved,8,8,514,3035,12
18969,20230608,82,Approved,8,8,514,3035,12
19078,20230609,82,Approved,8,8,514,3035,12
19190,20230612,164,Approved,8,8,514,3035,12
19250,20230613,164,Approved,8,8,514,3035,12
19308,20230614,164,Approved,8,8,514,3035,12
19370,20230615,164,Approved,8,8,514,3035,12
19407,20230616,164,Approved,8,8,514,3035,12
19457,20230619,143,Approved,8,8,514,3035,12
19523,20230620,143,Approved,8,8,514,3035,12
19587,20230621,143,Approved,8,8,514,3035,12
19645,20230622,143,Approved,8,8,514,3035,12
19744,20230623,143,Approved,8,8,514,3035,12
19814,20230626,164,Approved,8,8,514,3035,12
19870,20230627,164,Approved,8,8,514,3035,12
19925,20230628,164,Approved,8,8,514,3035,12
19982,20230629,164,Approved,8,8,514,3035,12
20017,20230630,164,Approved,8,8,514,3035,12
20050,20230703,81,Approved,8,8,514,3035,12
20099,20230704,81,Approved,8,8,514,3035,12
20142,20230705,81,Approved,8,8,514,3035,12
20189,20230706,81,Approved,8,8,514,3035,12
20274,20230707,81,Approved,8,8,514,3035,12
20352,20230710,143,Approved,8,8,514,3035,12
20573,20230717,143,Approved,8,8,514,3035,12
20623,20230718,143,Approved,8,8,514,3035,12
20671,20230719,143,Approved,8,8,514,3035,12
20711,20230720,143,Approved,8,8,514,3035,12
8845,20230104,55,Approved,8,8,514,3030,16
8931,20230105,55,Approved,8,8,514,3030,16
9021,20230106,66,Approved,8,8,514,3030,4
9105,20230109,66,Approved,8,8,514,3030,4
9219,20230110,66,Approved,8,8,514,3030,4
9763,20230117,55,Approved,8,8,514,3030,16
9875,20230118,55,Approved,8,8,514,3030,16
10081,20230120,60,Approved,8,8,514,3030,3
10175,20230123,60,Approved,8,8,514,3030,3
10289,20230124,60,Approved,8,8,514,3030,3
10369,20230125,15,Approved,8,8,514,3030,2
10485,20230126,15,Approved,8,8,514,3030,2
10593,20230127,15,Approved,8,8,514,3030,2
10954,20230201,55,Approved,8,8,514,3030,16
11081,20230202,55,Approved,8,8,514,3030,16
11230,20230203,66,Approved,8,8,514,3030,4
11371,20230206,66,Approved,8,8,514,3030,4
11495,20230207,66,Approved,8,8,514,3030,4
12184,20230215,55,Approved,8,8,514,3030,16
12459,20230217,60,Approved,8,8,514,3030,3
12644,20230220,60,Approved,8,8,514,3030,3
12759,20230221,60,Approved,8,8,514,3030,3
12839,20230222,15,Approved,8,8,514,3030,2
13043,20230224,15,Approved,8,8,514,3030,2
13529,20230302,55,Approved,8,8,514,3030,16
13799,20230306,66,Approved,8,8,514,3030,4
13910,20230307,66,Approved,8,8,514,3030,4
14476,20230315,55,Approved,8,8,514,3030,16
14573,20230316,55,Approved,8,8,514,3030,16
14705,20230317,60,Approved,8,8,514,3030,3
14920,20230320,60,Approved,8,8,514,3030,3
15015,20230321,60,Approved,8,8,514,3030,3
15071,20230322,15,Approved,8,8,514,3030,2
15157,20230323,15,Approved,8,8,514,3030,2
15238,20230324,15,Approved,8,8,514,3030,2
15500,20230329,55,Approved,8,8,514,3030,16
15583,20230330,55,Approved,8,8,514,3030,16
15686,20230331,66,Approved,8,8,514,3030,4
15848,20230403,66,Approved,8,8,514,3030,4
15927,20230404,66,Approved,8,8,514,3030,4
15998,20230405,55,Approved,8,8,514,3030,16
16070,20230406,55,Approved,8,8,514,3030,16
16129,20230407,66,Approved,8,8,514,3030,4
16190,20230411,55,Approved,8,8,514,3030,16
16270,20230412,60,Approved,8,8,514,3030,3
16340,20230413,60,Approved,8,8,514,3030,3
16428,20230414,60,Approved,8,8,514,3030,3
16530,20230417,60,Approved,8,8,514,3030,3
16609,20230418,60,Approved,8,8,514,3030,3
16652,20230419,15,Approved,8,8,514,3030,2
16727,20230420,15,Approved,8,8,514,3030,2
16797,20230421,15,Approved,8,8,514,3030,2
17023,20230426,55,Approved,8,8,514,3030,16
17086,20230427,55,Approved,8,8,514,3030,16
17177,20230428,66,Approved,8,8,514,3030,4
17270,20230502,66,Approved,8,8,514,3030,4
